Region label,Unit of measure,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Australia,hectares,52800,52200,68900,60000,49000,60700,55100,45000,46100,56700,60400,54900,54400,56200,55400,56400,66000,55900,50200,57300,58700,60100,56500,52900,50600,52600,46300,39700,42300,49800,40800,56700,77700,97800,71200,58500,58900,48400,54200,51400,47700,54700,51900,43500,37900,40900,47700,42400,43800,37100,38200,46000,41300,35600,39000,40200,42800,45900,43300,38600,40400,36600,34100,37600,33800,33900,36100,34600,36700,35700,36100,37300,37900,38400,36100,36700,39800,37600,40600,39800,39800,38800,40300,37600,41800,41100,42600,41300,36800,39600,37900,35900,36100,37400,35300,34100,38200,32600,36400,32200,33670,33034,29505,29414,27968,28372,29740,32413,27057,31426,26381
,tonnes,306300,425000,438100,363300,338000,362400,353000,264600,298900,379000,394300,333600,454800,337500,318400,379200,477500,288600,348000,370600,403500,390400,333000,290100,328300,468200,350800,278700,328500,467200,340800,491100,607700,894100,655400,552300,505200,466600,477900,417700,516400,437400,556200,475400,407900,526700,584200,583600,588100,457900,534200,677100,569900,516100,649200,653200,668600,811200,761800,774300,821700,720500,649100,741900,696500,728500,772800,794600,857400,865800,918600,854300,1019800,992100,964500,1015200,1081500,1048000,1177900,1136200,1150100,1129200,1184700,1122400,1308100,1286100,1371600,1326800,1199600,1302100,1333200,1247300,1310400,1288300,1249600,1212000,1400200,1178500,1278100,1128200,1288186,1273243,1171259,1154503,1130175,1105194,1188655,1225274,1076780,1267639,1108930
New South Wales,hectares,17500,13800,15700,12300,7900,9100,9100,8400,8100,11200,11900,9100,8900,9500,9200,8900,8700,6000,5200,6200,7100,8400,8100,8000,9200,10100,8600,6800,7800,7200,7200,9900,12200,14100,9300,8600,8900,7300,9500,7400,7700,7300,6700,5600,5400,6100,7000,7100,7800,7400,8200,11100,9900,8300,8900,9500,9800,11800,10500,8900,10000,9100,8500,9300,8300,8400,8700,8300,7400,6300,6200,7000,6800,6600,5900,6200,6400,6300,6700,6000,6300,6500,6600,6300,7200,6000,6800,6900,6300,6900,6900,5300,4600,4900,5100,4600,4100,3000,4900,4100,4045,4412,3810,3505,3900,3589,4045,3085,2031,2833,1752
,tonnes,76400,93100,108600,41400,45200,46100,50800,30800,50800,64300,58800,36300,62100,58200,43800,54100,48200,26800,24300,32800,34300,43100,44200,46800,63900,67300,51600,40000,41200,51200,39300,65800,66700,81900,62800,62300,66600,62200,70500,43800,52900,52000,59000,48500,44900,55300,67800,85800,83200,86500,84600,135100,99900,76900,106300,128200,124800,163400,144300,145700,171800,130300,124600,117900,117900,111900,114800,124200,102400,86500,107500,108800,129600,109300,108600,121600,119900,110100,130100,119500,122500,137400,138700,126800,162500,136200,146500,162100,156400,160100,158500,134100,119100,130500,130900,122700,104400,75400,131800,110800,66078,112757,120440,111038,137247,107698,109301,82463,51373,86630,51164
Victoria,hectares,19300,19300,30200,26500,23000,29800,27100,20900,21800,25400,25900,25000,24000,24800,25600,26800,31400,27700,23800,27400,28300,28200,24600,21900,17900,18500,16600,13900,13000,17900,13500,20900,28500,33700,25500,22800,24000,18500,20500,21200,17000,21400,21300,17800,15000,16100,20200,18700,19600,15700,14800,17400,16000,13300,13900,15000,16300,16200,16100,14200,14000,13100,12500,13000,10900,9900,12100,11300,13100,13700,13700,13500,13500,14900,14200,13200,14500,13000,13300,14100,13600,12000,12000,10100,11500,11400,10300,10500,9600,9600,8700,8200,9100,8400,8500,8100,10700,8500,7600,7600,8189,7174,7587,6242,6338,7150,6396,6800,6981,6582,6231
,tonnes,121000,194200,179400,192300,176600,191000,185100,139700,148200,174400,176400,150700,242300,141300,163300,165500,234000,142400,174500,176100,209800,185400,144400,111100,105800,199800,136900,82700,89300,220000,120400,198300,220900,310100,234500,227400,187800,168800,170600,141600,181300,135300,217100,209900,165900,231000,255200,263500,246400,183700,199200,258600,203600,186600,244700,228800,219400,304800,284000,303900,306700,287000,254000,282500,244500,243600,303400,279600,333600,349000,354200,287200,362400,379100,367000,364300,398200,368300,368400,376700,368800,309200,322100,279900,335600,315700,295100,319200,294700,297000,294500,270900,337900,271400,289300,256500,322400,255500,275000,236700,295878,250668,292178,238297,237881,245219,224876,257876,272767,282034,269799
Queensland,hectares,3100,3600,4100,3400,2300,3600,4300,2600,1800,3500,3900,3100,2500,3800,4200,3500,4100,3300,3300,4200,4200,3900,4800,4700,5500,5400,4400,4200,5000,5100,3900,4000,5900,7400,6200,4300,4300,4500,4700,4400,4600,4700,3800,3900,4100,5200,5800,4700,5000,4900,5900,6900,6400,5700,6500,6600,7000,7500,7200,6400,7400,6000,5300,6100,6000,6300,6000,5900,6500,5800,6100,6200,6300,6000,5500,6300,6600,6200,6200,5800,5300,5300,5000,4800,4700,4700,5100,4800,5200,4800,4600,4700,4800,4800,3600,3500,3400,3500,3500,3300,3153,4052,2528,3357,2392,2281,2089,2504,2551,3442,3449
,tonnes,13300,16600,16800,16300,7600,19800,22500,11300,8000,19400,17100,10700,9000,20600,15600,9900,19200,9800,13400,18800,17500,14200,20400,22000,25200,16100,16800,19500,28800,22100,19300,22800,31200,34200,34100,23000,29800,28000,31200,25100,33500,35600,33200,31100,38200,50300,57400,47800,52300,60300,71800,87600,91600,83700,99300,95200,108100,125000,117300,110400,132600,92200,86500,107600,99800,106300,103700,114500,127400,113300,128600,120200,124000,117200,113200,132700,120000,115100,121900,119000,112600,125200,118000,109000,103800,115400,121600,108100,118800,115800,117900,118600,119200,119900,93600,88100,99200,97600,95300,87700,90967,113078,77318,101598,68358,61755,59397,79311,60381,113383,117574
South Australia,hectares,3000,3500,4400,3100,1800,1900,1700,1300,1400,1900,2400,2300,2100,1300,1200,1400,1700,1800,1800,2000,2400,2600,2400,1900,1900,1900,1800,1700,1800,2000,1900,2900,3600,5100,3600,2500,2500,2400,2900,2800,2800,3700,2800,2400,2200,2300,2500,2500,2400,2100,2200,2400,2200,2100,2300,2400,2600,3100,3200,2900,2800,2700,2500,2700,2800,3200,3600,3600,3500,3800,3700,3800,4200,3600,3700,3400,3900,3900,5100,5400,6000,6300,7100,7800,8100,8600,8800,8800,8000,9100,8600,9300,8900,10700,9500,9400,12100,10100,11900,9300,9813,9306,9110,9234,8498,7757,9670,11835,7511,9673,6183
,tonnes,23000,33600,33500,18300,13200,20700,11500,13400,11200,17300,18900,17600,21700,12400,10900,15600,18000,14100,15200,19300,24400,25200,19800,19700,19600,21300,22000,18800,21600,26000,24500,33400,36600,65200,35700,29700,34700,33600,41600,36500,44600,44600,45800,39000,37000,44400,50800,51400,49700,41500,49300,54100,52000,49200,57400,61200,64300,69100,79900,72600,71700,69500,60500,70800,70700,83400,90300,89400,91500,96700,100200,95500,120700,112200,113000,105400,122800,119100,161300,175300,198600,179300,202600,247400,282600,285300,306600,301000,280600,322700,334700,328000,330700,364500,357800,364300,477100,383200,358700,356500,384204,367141,351816,341283,347502,297371,401455,382981,277221,305652,228701
Western Australia,hectares,1100,2100,2100,1900,2000,2400,1800,1600,1500,1700,1500,1500,1900,2100,1700,2100,2100,2000,2400,2600,2000,2000,1800,1600,2000,1800,1700,2200,2300,2500,1900,2600,3000,4700,4000,2800,2800,2600,2800,2700,2800,3300,3300,3100,2800,3500,3400,2900,2800,2700,2800,2600,2400,2300,2500,2500,2500,2700,2600,2500,2700,2400,2200,2400,2300,2300,2100,2000,2000,1900,2000,2000,2000,2000,1900,1800,2000,2200,2500,2900,2600,2600,2700,2600,2800,3000,3200,2700,2100,1800,1700,1800,1900,1900,2100,1900,1900,1800,1900,1900,1877,1741,1651,1670,1803,1736,1687,1871,1715,1651,1940
,tonnes,9500,13800,18100,15000,14300,16700,11500,11900,13500,13600,13800,15400,18100,20200,16300,18000,17000,19100,28000,26700,20600,22700,21500,19500,26700,23300,21900,27000,31300,32000,25700,32800,31000,52000,48400,36600,41300,40100,40100,44600,50700,53600,54600,44300,42800,54600,50000,47900,56900,46200,56600,57800,56300,61700,63900,65200,71600,75600,68200,69200,68400,63300,60600,67500,68000,70900,53300,62600,66200,64300,67300,69300,69600,70400,69300,67600,72300,78500,98700,110100,97800,108200,111800,103600,121500,116000,128200,108900,82100,75500,77300,75500,75900,81200,89400,78700,85800,88500,84600,84800,89537,79129,77904,65713,87747,73845,66847,79555,75581,78899,85920
Tasmania,hectares,8800,10000,12500,12800,11900,13900,11100,10100,11500,13000,14900,13900,15000,14600,13400,13800,18000,15100,13600,15100,14700,14900,14800,14700,14100,15000,13100,10800,12300,15100,12400,16400,24500,32800,22800,17500,16300,13100,13800,12800,12800,14300,14000,10600,8400,7700,8800,6600,6300,4400,4500,5600,4400,3800,4900,4200,4400,4600,3800,3600,3600,3300,3100,4100,3400,3700,3600,3600,4100,4300,4400,4700,5200,5200,4800,5700,6400,6000,6900,5700,6000,6100,6900,6100,7600,7400,8300,7600,5700,7500,7400,6500,6800,6700,6300,6600,6000,5700,6600,6000,6593,6348,4819,5406,5036,5860,5852,6317,6269,7245,6825
,tonnes,63200,73700,81700,80200,81200,68100,71600,57400,67300,90100,109400,102800,101500,84700,68400,115900,141100,76400,92600,96800,96900,99800,82600,71100,87200,140500,101600,90800,116300,115900,111600,138100,221300,350800,239900,173400,145000,133900,124000,126000,153400,116300,146600,102600,79200,91100,103100,87300,99600,39700,72700,83900,66500,58000,77600,74500,80300,73300,68000,72600,70400,78300,62900,95600,95600,112300,107200,124400,136200,156000,160800,173100,213100,203500,193500,223400,248300,256800,297500,235500,249800,269900,291400,255700,302000,317400,373600,327500,267200,331000,350100,320300,327600,320800,288600,301700,311200,278400,332700,251800,361521,350470,251602,296573,251439,319306,326779,343088,339458,401041,355771
Northern Territory,hectares,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,tonnes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australian Capital Territory,hectares,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,tonnes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
